threads,run,elapsed_ms
1,1,82314
1,2,80867
1,3,81844
1,4,90338
1,5,90131
2,1,60902
2,2,61327
2,3,60326
2,4,60599
2,5,60655
3,1,39623
3,2,36788
3,3,36710
3,4,36736
3,5,36435
4,1,30872
4,2,30814
4,3,32329
4,4,33983
4,5,32791
6,1,22813
6,2,23044
6,3,22636
6,4,22788
6,5,22898
8,1,18275
8,2,18095
8,3,18123
8,4,18133
8,5,18266
12,1,15148
12,2,14824
12,3,14850
12,4,14755
12,5,14745
