threads,mean_ms,std_ms,min_ms,max_ms,runs,speedup,efficiency
1,85098.8,4717.764799139524,80867,90338,5,1.0,1.0
2,60761.8,376.4766925056577,60326,61327,5,1.400531254834452,0.700265627417226
3,37258.4,1328.932014814904,36435,39623,5,2.2840164902411266,0.7613388300803755
4,32157.8,1343.5667828582252,30814,33983,5,2.6462879923377844,0.6615719980844461
6,22835.8,149.9506585514049,22636,23044,5,3.7265521680869513,0.6210920280144919
8,18178.4,85.2807129426105,18095,18275,5,4.6813140870483645,0.5851642608810456
12,14864.4,164.69152983684359,14745,15148,5,5.7250074002314255,0.47708395001928544
